Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A401030000AC48000022163,Packaging Area,"Private Stash, Tropical, Flavored Distillate, 1g Vape Cartridge",Inhalable Cannabinoid Product with Non-Cannabis Additives (each; with ingredients),30,,TestPassed,,-30,11/12/2021
1A401030000AC48000022179,Safe/Connex,"Tozmoz, Dream Queen, Cannabis Derived Terpenes",Concentrate,125.7,,NotSubmitted,,-125.7,11/15/2021
1A401030000AC48000022180,Safe/Connex,"Tozmoz, Banner, Cannabis Derived Terpenes",Concentrate,18.4,,NotSubmitted,,-18.4,11/15/2021
1A401030000AC48000022181,Safe/Connex,"Tozmoz, Cookies n Cream, Cannabis-Derived-Terpenes",Concentrate,112.4,,NotSubmitted,,-112.4,11/15/2021
1A401030000AC48000022182,Safe/Connex,"Tozmoz, Purple Hindu Kush, Cannabis Derived Terpenes",Concentrate,158.58,,NotSubmitted,,-158.58,11/15/2021
1A401030000AC48000022183,Safe/Connex,"Tozmoz, Chem Rush, Cannabis Derived Terpenes",Concentrate,95.3,,NotSubmitted,,-95.3,11/15/2021
1A401030000AC48000022186,Safe/Connex,"Tozmoz, Mac Express, Cannabis Derived Terpenes",Concentrate,37.2,,NotSubmitted,,-37.2,11/15/2021
1A401030000AC48000022188,Safe/Connex,"Tozmoz, Lemon Apricot, Cannabis Derived Terpenes",Concentrate,97.1,,NotSubmitted,,-97.1,11/15/2021
1A401030000AC48000022189,Safe/Connex,"Tozmoz, Alien E.T., Cannabis-Derived Terpenes",Concentrate,36.98,,NotSubmitted,,-36.98,11/15/2021
1A401030000AC48000022216,Safe/Connex,"Tozmoz, Blue Mazar, Cannabis Derived Terpenes",Concentrate,44.4,,NotSubmitted,,-44.4,11/16/2021
1A401030000AC48000022219,Safe/Connex,"Tozmoz, Blueberry Muffin, Cannabis-Derived Terpenes",Concentrate,47.7,,NotSubmitted,,-47.7,11/16/2021
1A401030000AC48000022243,Safe/Connex,"Tozmoz, Double O Cookies (Agent Orange x Orange Cookies ), Live Resin, Sauce & Diamonds",Extracts,439.5,,TestPassed,,-439.5,11/16/2021
1A401030000AC48000022247,Safe/Connex,"Tozmoz, Vanilla Frosting, Live Resin, Sauce & Diamonds",Extracts,601,,TestPassed,,-601,11/16/2021
1A401030000AC48000022259,Safe/Connex,"Tozmoz, Mango Kush, Live Resin, Sauce & Diamonds",Extracts,634.5,,TestPassed,,-634.5,11/16/2021
1A401030000AC48000022265,Safe/Connex,"Tozmoz, Vanilla Frosting, Live Resin",Extracts,514.1,,TestPassed,,-514.1,11/16/2021
1A401030000AC48000022266,Safe/Connex,"Tozmoz, Lemon Apricot, Live Resin, Badder",Extracts,322.4,,TestPassed,,-322.4,11/16/2021
